# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  3 20:42:29 2024
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%imaging%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
CHXR 73 b,CHXR 73,1,1,1,Imaging,2006,Hubble Space Telescope,Published Confirmed,0,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,,,,,210.000000,,,0,,,,,,,,,3994.48600,2662.99100,-1664.36900,0,12.56900,8.37900,-5.23700,0,Mass,,,,,,,,,,,,,0,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,M3.5,,,,,,,,,0.35,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.3740000,6.6470000,-6.2200000,,,,10.7030000,0.0230000,-0.0230000,17.2934000,0.0013960,-0.0013960,2014-05-14,2006-10,2014-05-14
COCONUTS-2 b,COCONUTS-2 A,1,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),Published Confirmed,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,402000000.00000000,470000000.00000000,-100000000.00000000,0,7506.000000,5205.000000,-2060.000000,0,12.442,0.336,-0.336,0,1.110,0.030,-0.030,0,2002.31896,476.74261,-603.87397,0,6.30000,1.50000,-1.90000,0,Mass,,,,,,,,,434,9,-9,0,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,M3 V,3406.00,69.00,-69.00,0,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,0.000,0.080,-0.080,0,[Fe/H],4.83,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,10.8864000,0.0041000,-0.0042000,11.2980000,0.0270000,-0.0270000,6.5790000,0.0180000,-0.0180000,10.1460000,0.0015670,-0.0015670,2021-08-16,2021-08,2021-08-16
CT Cha b,CT Cha,1,1,1,Imaging,2007,Paranal Observatory,Published Confirmed,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,440.000000,,,0,24.660,9.080,-6.730,0,2.200,0.810,-0.600,0,5403.00000,1907.00000,-1907.00000,0,17.00000,6.00000,-6.00000,0,Mass,,,,,,,,,2600,250,-250,0,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.7200000,0.7780000,-0.7710000,12.3350000,0.0690000,-0.0690000,8.6610000,0.0210000,-0.0210000,11.7733000,0.0047010,-0.0047010,2014-05-14,2008-11,2014-05-14
DH Tau b,DH Tau,0,1,1,Imaging,2004,Subaru Telescope,Published Confirmed,0,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783L..17Z/abstract target=ref>Zhou et al. 2014</a>,,,,,,,,,30.264,8.967,-8.967,0,2.700,0.800,-0.800,0,3496.13000,953.49000,-953.49000,0,11.00000,3.00000,-3.00000,0,Mass,,,,,,,,,2200,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4371.00,137.00,-137.00,0,1.37,,,0,0.68,,,0,,,,,,4.00,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h29m41.56s,67.4231674,+26d32m57.80s,26.5493897,134.8460000,1.2820000,-1.2580000,13.9800000,1.1330000,-1.1330000,8.1780010,0.0260000,-0.0260000,12.4961000,0.0089970,-0.0089970,2016-02-24,2014-03,2016-02-25
DH Tau b,DH Tau,1,1,1,Imaging,2004,Subaru Telescope,Published Confirmed,0,<a refstr=PATIENCE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...540A..85P/abstract target=ref> Patience et al. 2012 </a>,,,,,330.000000,,,0,,,,,,,,,3496.00000,3178.00000,-953.00000,0,11.00000,10.00000,-3.00000,0,Mass,,,,,,,,,,,,,0,<a refstr=PATIENCE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...540A..85P/abstract target=ref> Patience et al. 2012 </a>,M0.5,,,,,0.27,0.07,-0.07,0,0.33,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h29m41.56s,67.4231674,+26d32m57.80s,26.5493897,134.8460000,1.2820000,-1.2580000,13.9800000,1.1330000,-1.1330000,8.1780010,0.0260000,-0.0260000,12.4961000,0.0089970,-0.0089970,2014-05-14,2012-04,2014-05-14
FU Tau b,FU Tau,1,1,1,Imaging,2008,Spitzer Space Telescope,Published Confirmed,0,<a refstr=LUHMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...691.1265L/abstract target=ref> Luhman et al. 2009 </a>,,,,,800.000000,,,0,,,,,,,,,5085.28000,,,0,16.00000,,,0,Mass,,,,,,,,,2375,,,0,0,<a refstr=LUHMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...691.1265L/abstract target=ref> Luhman et al. 2009 </a>,M7.25,2838.00,,,0,,,,,0.05,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h23m35.40s,65.8974962,+25d03m02.42s,25.0506711,,,,,,,9.3240000,0.0240000,-0.0240000,15.2412000,0.0024420,-0.0024420,2016-03-09,2009-02,2016-03-10
FU Tau b,FU Tau,0,1,1,Imaging,2008,Spitzer Space Telescope,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,726.000000,7.000000,-7.000000,0,,,,,,,,,6038.73973,635.65681,-953.48522,0,19.00000,2.00000,-3.00000,0,Mass,,,,,,,,,2559,39,-72,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h23m35.40s,65.8974962,+25d03m02.42s,25.0506711,,,,,,,9.3240000,0.0240000,-0.0240000,15.2412000,0.0024420,-0.0024420,2024-05-08,2024-01,2024-05-08
G 196-3 b,G 196-3,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,350.000000,1.000000,-1.000000,0,,,,,,,,,8263.53858,317.82841,-317.82841,0,26.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1670,6,-32,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h04m21.23s,151.0884754,+50d23m10.25s,50.3861806,21.7912000,0.0185500,-0.0185500,11.6720000,0.0770000,-0.0770000,7.1990000,0.0160000,-0.0160000,10.6123000,0.0004870,-0.0004870,2024-05-08,2024-01,2024-05-08
GJ 504 b,GJ 504,1,1,1,Imaging,2013,Subaru Telescope,Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref> Kuzuhara et al. 2013 </a>,,,,,43.500000,,,0,,,,,,,,,1271.30000,1430.20000,-317.80000,0,4.00000,4.50000,-1.00000,0,Mass,,,,,,,,,510,30,-20,0,0,<a refstr=KUZUHARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref> Kuzuhara et al. 2013 </a>,G0 V,6234.00,25.00,-25.00,0,,,,,1.22,0.08,-0.08,0,0.280,0.030,-0.030,0,[Fe/H],4.60,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h16m46.16s,199.1923480,+09d25m29.92s,9.4249781,17.5299000,0.0785000,-0.0778000,5.1879900,0.0230000,-0.0230000,4.0330000,0.2380000,-0.2380000,5.0415600,0.0040502,-0.0040502,2014-05-14,2013-09,2014-05-14
GJ 900 b,GJ 900 A,1,3,1,Imaging,2024,Multiple Observatories,Published Confirmed,0,<a refstr=ROTHERMICH_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..253R/abstract target=ref>Rothermich et al. 2024</a>,,,,,12000.000000,,,0,,,,,,,,,3496.11248,,,0,11.00000,,,0,Mass,,,,,,,,,,,,,0,<a refstr=ROTHERMICH_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..253R/abstract target=ref>Rothermich et al. 2024</a>,K7,,,,,,,,,1.08,,,0,-0.630,0.880,-0.110,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h35m00.63s,353.7526177,+01d36m19.88s,1.6055211,20.8065000,0.0357000,-0.0357000,9.5900000,0.1000000,-0.1000000,6.0440000,0.0180000,-0.0180000,9.0257100,0.0012350,-0.0012350,2024-05-29,2024-06,2024-05-29
GQ Lup b,GQ Lup,0,1,1,Imaging,2004,Paranal Observatory,Published Confirmed,0,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783L..17Z/abstract target=ref>Zhou et al. 2014</a>,,,,,,,,,51.561,15.693,-15.693,0,4.600,1.400,-1.400,0,9852.73000,3178.30000,-3178.30000,0,31.00000,10.00000,-10.00000,0,Mass,,,,,,,,,2400,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4360.00,134.00,-134.00,0,1.94,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h49m12.09s,237.3003643,-35d39m05.42s,-35.6515055,151.1690000,1.0960000,-1.0810000,11.5930000,0.1370000,-0.1370000,7.0960000,0.0200000,-0.0200000,11.2608000,0.0088720,-0.0088720,2016-02-24,2014-03,2016-02-25
GQ Lup b,GQ Lup,1,1,1,Imaging,2004,Paranal Observatory,Published Confirmed,0,<a refstr=NEUHAEUSER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A%26A...484..281N/abstract target=ref> Neuh&auml;user et al. 2008 </a>,,,,,100.000000,,,0,33.600,5.600,-5.600,0,3.000,0.500,-0.500,0,6356.00000,,,0,20.00000,,,0,Mass,,,,,,,,,2650,100,-100,0,0,<a refstr=NEUHAUSER_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref> Neuhauser et al. 2005 </a>,K7e V,,,,,,,,,0.70,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h49m12.09s,237.3003643,-35d39m05.42s,-35.6515055,151.1690000,1.0960000,-1.0810000,11.5930000,0.1370000,-0.1370000,7.0960000,0.0200000,-0.0200000,11.2608000,0.0088720,-0.0088720,2014-05-14,2008-06,2014-05-14
GSC 06214-00210 b,GSC 06214-00210,1,1,1,Imaging,2010,Palomar Observatory,Published Confirmed,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,320.000000,30.000000,-30.000000,0,,,,,,,,,5000.00000,300.00000,-300.00000,0,16.00000,1.00000,-1.00000,0,Mass,,,,,,,,,2300,100,-100,0,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7,4200.00,150.00,-150.00,0,,,,,0.90,0.10,-0.10,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h21m54.65s,245.4776921,-20d43m09.62s,-20.7193398,108.5000000,0.5130000,-0.5080000,12.4160000,0.0460000,-0.0460000,9.1520000,0.0210000,-0.0210000,11.8633000,0.0015330,-0.0015330,2015-04-01,2015-03,2015-04-01
GSC 06214-00210 b,GSC 06214-00210,0,1,1,Imaging,2010,Palomar Observatory,Published Confirmed,0,<a refstr=IRELAND_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref> Ireland et al. 2011 </a>,,,,,300.000000,,,0,,,,,,,,,4258.70000,476.70000,-476.70000,0,13.50000,1.50000,-1.50000,0,Mass,,,,,,,,,,,,,0,<a refstr=IRELAND_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref> Ireland et al. 2011 </a>,M1,,,,,,,,,0.60,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h21m54.65s,245.4776921,-20d43m09.62s,-20.7193398,108.5000000,0.5130000,-0.5080000,12.4160000,0.0460000,-0.0460000,9.1520000,0.0210000,-0.0210000,11.8633000,0.0015330,-0.0015330,2014-05-14,2011-01,2014-05-14
GSC 06214-00210 b,GSC 06214-00210,0,1,1,Imaging,2010,Palomar Observatory,Published Confirmed,0,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783L..17Z/abstract target=ref>Zhou et al. 2014</a>,,,,,,,,,20.176,5.604,-5.604,0,1.800,0.500,-0.500,0,4767.45000,953.49000,-953.49000,0,15.00000,3.00000,-3.00000,0,Mass,,,,,,,,,2200,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4432.00,212.02,-178.96,0,0.90,0.07,-0.08,0,0.69,0.11,-0.06,0,,,,,,4.37,0.11,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h21m54.65s,245.4776921,-20d43m09.62s,-20.7193398,108.5000000,0.5130000,-0.5080000,12.4160000,0.0460000,-0.0460000,9.1520000,0.0210000,-0.0210000,11.8633000,0.0015330,-0.0015330,2016-02-24,2014-03,2016-02-25
GSC 06214-00210 b,GSC 06214-00210,0,1,1,Imaging,2010,Palomar Observatory,Published Confirmed,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,320.000000,30.000000,-30.000000,0,,,,,,,,,5300.00000,300.00000,-300.00000,0,17.00000,1.00000,-1.00000,0,Mass,,,,,,,,,2300,100,-100,0,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,4200.00,150.00,-150.00,0,,,,,0.90,0.10,-0.10,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h21m54.65s,245.4776921,-20d43m09.62s,-20.7193398,108.5000000,0.5130000,-0.5080000,12.4160000,0.0460000,-0.0460000,9.1520000,0.0210000,-0.0210000,11.8633000,0.0015330,-0.0015330,2015-04-01,2015-03,2015-04-01
GU Psc b,GU Psc,1,1,1,Imaging,2014,Gemini Observatory,Published Confirmed,0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,,,,,2000.000000,200.000000,-200.000000,0,14.179,1.289,-1.289,0,1.265,0.115,-0.115,0,3591.30000,540.30000,-540.30000,0,11.30000,1.70000,-1.70000,0,Mass,,,,,,,,,1050,50,-50,0,0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,M3,,,,,,,,,0.33,0.03,-0.03,0,0.100,0.130,-0.130,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h12m35.16s,18.1464850,+17d03m54.01s,17.0650029,47.5501000,0.1649000,-0.1638000,14.1460000,0.0990000,-0.0990000,9.3450000,0.0150000,-0.0150000,12.9656000,0.0016760,-0.0016760,2014-05-14,2014-05,2014-05-14
HD 100546 b,HD 100546,1,1,1,Imaging,2014,Paranal Observatory,Published Confirmed,1,<a refstr=QUANZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,,,,,53.000000,2.000000,-2.000000,0,77.342,30.264,-32.506,0,6.900,2.700,-2.900,0,2701.54146,1271.31363,-1271.31363,0,8.50000,4.00000,-4.00000,0,Mass,,,,,,,,,,,,,0,<a refstr=QUANZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,B9 Vne,10500.00,,,0,,,,,2.40,0.10,-0.10,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h33m25.32s,173.3555116,-70d11m41.24s,-70.1947897,109.6770000,0.6210000,-0.6130000,6.6900000,0.0300000,-0.0300000,5.4180000,0.0230000,-0.0230000,6.6551400,0.0005940,-0.0005940,2023-12-14,2015-07,2023-12-14
HD 106906 b,HD 106906,0,1,1,Imaging,2013,Las Campanas Observatory,Published Confirmed,0,<a refstr=DAEMGEN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..71D/abstract target=ref>Daemgen et al. 2017</a>,,,,,,,,,,,,,,,,,4115.89850,397.28750,-587.98550,0,12.95000,1.25000,-1.85000,0,Mass,,,,,,,,,1820,240,-240,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6473.79,130.31,-105.09,0,2.12,0.08,-0.10,0,1.32,0.24,-0.16,0,,,,,,3.90,0.09,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h17m53.12s,184.4713308,-55d58m32.09s,-55.9755805,103.0290000,0.4610000,-0.4570000,7.8000000,0.0300000,-0.0300000,6.6830000,0.0260000,-0.0260000,7.6863900,0.0002160,-0.0002160,2017-09-27,2017-12,2017-09-28
